Author,Title,Year,Original (if translated),Mode,Publisher Location,Publisher Name,Nationality of Author,Keywords,Origin,
"Steel, Flora Annie",From the Five Rivers,1893,,Fiction,London,William Heinemann,British,,Gutenberg,
"Steel, Flora Annie",On the Face of the Waters,1896,,Fiction,New York,Macmillan Company,British,Sepoy Mutiny; 1857,Gutenberg,
"Steel, Flora Annie",Tales of the Punjab: Folklore of India,1894,,Fiction,,,British,Juvenile Fiction,Gutenberg,
"Steel, Flora Annie",Potter's Thumb,1900,,Fiction,London,William Heinemann,British,,Gutenberg,
"Steel, Flora Annie",Voices in the Night,1900,,Fiction,London,William Heinemann,British,,Gutenberg,
"Tagore, Rabindranath",Gitanjali (Song Offerings),1912,1910,Poetry,London,,South Asian,Translated by the author; Preface by W.B. Yeats,Gutenberg,
"Tagore, Rabindranath",Gora,1924,1909,Fiction,"London, Bombay, Calcutta, Melbourne",Macmillan and Co.,South Asian,Translation from Bengali,HathiTrust,
"Tagore, Rabindranath",Mashi and Other Stories,1918,1914,Fiction,"London, Bombay, Calcutta, Melbourne",Macmillan and Co.,South Asian,Translation from Bengali,Gutenberg,
"Tagore, Rabindranath",My Reminiscences,1917,1911,Nonfiction,"London, Bombay, Calcutta, Melbourne",Macmillan and Co.,South Asian,Translation from Bengali,Gutenberg,
"Tagore, Rabindranath",Stories from Tagore,1918,,Fiction,"London, Bombay, Calcutta, Melbourne",Macmillan and Co.,South Asian,,Gutenberg,
"Tagore, Rabindranath",The Gardener,1915,1900,Poetry,,,South Asian,Translated from Bengali by the author,Gutenberg,
"Tagore, Rabindranath",The Home and the World,1919,1916,Fiction,,,South Asian,Translated from Bengali by Surendranath Tagore,Gutenberg,
"Tagore, Rabindranath",The Hungry Stones and Other Stories,1916,1895,Fiction,,,South Asian,Translated from Bengali by C.F. Andrews and the author,Gutenberg,
"Tagore, Rabindranath",The Post Office,1914,1912,Drama,London,Macmillan Company,South Asian,Translated from Bengali by Devabrata Mukherjee,Gutenberg,
"Woolf, Leonard",Stories of the East,1921,,Fiction,London,Hogarth Press,British,,Gutenberg ,
"Woolf, Leonard",Village in the Jungle,1913,,Fiction,London,Edward Arnold,British,Ceylon; Sri Lanka,Gutenberg ,
