Rank,Titles,Authors,Edition,Coassignments,Score
62,    Racial Formation in the United States,    Michael Omi,    Multiple Editions,168,58
63,    The Division of Labor in Society,"    E.́mile Durkheim, Emile Durkheim",    Multiple Editions,168,54
64,    The Canterbury Tales,    Geoffrey Chaucer,    Multiple Editions,163,100
65,    The German Ideology,    Karl Marx,    Multiple Editions,163,86
66,    To Build a Fire,    Jack London,    Multiple Editions,163,55
67,    A White Heron: A Story,    Sarah Orne Jewett,    Multiple Editions,163,51
68,    Sister Carrie,    Theodore Dreiser,    Multiple Editions,161,49
69,    The Autobiography of Benjamin Franklin,    Benjamin Franklin,    Multiple Editions,159,81
70,    The Social Contract,    Jean-Jacques Rousseau,    Multiple Editions,157,97
71,    A Streetcar Named Desire,    Tennessee Williams,    Multiple Editions,157,81
72,    Walden,    Henry David Thoreau,    Multiple Editions,156,93
73,    Everyday Use,    Alice Walker,"    Rutgers University Press ,1994",156,87
74,    Black Power: The Politics of Liberation in America,    Stokely Carmichael,    Multiple Editions,155,32
75,    Mending Wall,    Robert Frost,"    SAGE,1963",153,66
76,    Native Son,    Richard Wright,    Multiple Editions,153,56
77,    On Liberty,    John Stuart Mill,    Multiple Editions,152,98
78,    The Marx-Engels Reader,    Karl Marx,"    W. W. Norton,1972",151,83
79,    The Goophered Grapevine,    Charles W. Chesnutt,"    Duke University Press,2012",150,21
80,"    Common Sense: Addressed to the Inhabitants of America, on the Following Interesting Subjects: I. Of the Origin and Design of Government in General, With Concise Remarks on the English Constitution. II. Of Monarchy and Hereditary Succession. III. Thoughts on the Present State of American Affairs. IV. Of the Present Ability of America, With Some Miscellaneous Reflections",    Thomas Paine,    Multiple Editions,147,90
81,    The Celebrated Jumping Frog of Calaveras County,    Mark Twain,    Multiple Editions,147,35
82,    The Woman Warrior: Memoirs of a Girlhood Among Ghosts,    Maxine Hong Kingston,    Multiple Editions,146,83
83,    Song of Myself,    Walt Whitman,    Multiple Editions,146,79
84,    On the Genealogy of Morals,    Friedrich Wilhelm Nietzsche,    Multiple Editions,145,91
85,    Black Boy: A Record of Childhood and Youth,    Richard Wright,    Multiple Editions,145,43
86,    As I Lay Dying,    William Faulkner,    Multiple Editions,143,69
87,    An Inquiry Into the Nature and Causes of the Wealth of Nations,    Adam Smith,    Multiple Editions,140,98
88,    Babylon Revisited and Other Stories,    F. Scott Fitzgerald,    Multiple Editions,140,45
89,    Paradise Lost,    John Milton,    Multiple Editions,139,100
90,    Pedagogy of the Oppressed,    Paulo Freire,    Multiple Editions,137,99
91,    The Federalist,    Alexander Hamilton,    Multiple Editions,137,91
92,"    The Snows of Kilimanjaro, and Other Stories",    Ernest Hemingway,    Multiple Editions,136,37
93,    Quicksand,    Nella Larsen,    Multiple Editions,136,31
94,    A People's History of the United States,    Howard Zinn,    Multiple Editions,135,83
95,    A Rose for Emily,    William Faulkner,    Multiple Editions,134,95
96,    Gender Trouble: Feminism and the Subversion of Identity,    Judith Butler,"    Routledge,1990",129,98
97,    The Origin of Species,    Charles Darwin,    Multiple Editions,129,95
98,    How the Other Half Lives: Studies Among the Tenements of New York,    Jacob A. Riis,    Multiple Editions,129,66
99,    Daisy Miller,    Henry James,    Multiple Editions,129,35
100,    The History of Sexuality,    Michel Foucault,    Multiple Editions,128,98
